ADM2|07|3306|1630324|Kabupaten Purworejo|-7.7|109.96667|Daerah Tingkat II Purworedjo,Kabupaten Purworedjo,Kabupaten Purworejo,Purworejo,Purworejo Regency
ADM2|30|3214|1630340|Kabupaten Purwakarta|-6.6|107.43333|Daerah Tingkat II Purwakarta,Kabupaten Purwakarta,Purwakarta,Purwakarta Regency
ADM2|08|3574|1630632|Kota Probolinggo|-7.775|113.20833|Kota Probolinggo,Kotamadya Probolinggo,Kotapradja Probolinggo,Probolinggo
ADM2|08|3513|1630633|Kabupaten Probolinggo|-7.85|113.3|Daerah Tingkat II Probolinggo,Kabupaten Probolinggo,Probolinggo,Probolinggo Regency
ADM2|21|7204|1630720|Kabupaten Poso|-1.68333|120.51667|Daerah Tingkat II Poso,Kabupaten Poso,Poso Regency
ADM2|11|6171|1630787|Kota Pontianak|0.00832|109.33146|Kota Pontianak,Kotamadya Pontianak,Kotapradja Pontianak
ADM2|11|6104|1630788|Kabupaten Mempawah|0.25|109.16667|Daerah Tingkat II Pontianak,Kabupaten Mempawah,Kabupaten Pontianak,Mempawah,Mempawah Regency
ADM2|08|3502|1630797|Kabupaten Ponorogo|-7.93333|111.5|Daerah Tingkat II Ponorogo,Kabupaten Ponorogo,Ponorogo,Ponorogo Regency
ADM2|41|7602|1630933|Kabupaten Polewali Mandar|-3.31667|119.15|Daerah Tingkat II Polewali Mamasa,Kabupaten Polewali Mandar,Kabupaten Polewalimamasa,Polewali Mandar,Polewali Mandar Regency
ADM2|38|7315|1631102|Kabupaten Pinrang|-3.61667|119.6|Daerah Tingkat II Pinrang,Kabupaten Pinrang,Pinrang,Pinrang Regency
ADM2|24|1302|1631300|Kabupaten Pesisir Selatan|-1.56806|100.81694|Daerah Tingkat II Pasisir Selatan,Kabupaten Pesisir Selatan,Pasisir,Pesisir Selatan Regency
ADM2|07|3327|1631647|Kabupaten Pemalang|-7.05|109.38333|Daerah Tingkat II Pemalang,Kabupaten Pemalang,Pemalang,Pemalang Regency
